ID,Timestamp,From MAC,To MAC,A,B,C,D,E,F
5530,2025-12-02 12:01:44,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1209,1596,1545,5,0,OK
5529,2025-12-02 12:01:44,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1205,1589,1542,5,0,OK
5528,2025-12-02 12:01:44,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1209,1590,1546,5,0,OK
5527,2025-12-02 12:01:44,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1211,1592,1545,5,0,OK
5526,2025-12-02 12:01:44,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1205,1596,1545,5,0,OK
5525,2025-12-02 12:01:44,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1202,1593,1545,5,0,OK
5524,2025-12-02 12:01:44,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1204,1590,1538,5,0,OK
5523,2025-12-02 12:01:44,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1209,1596,1553,5,0,OK
5522,2025-12-02 12:01:43,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1209,1591,1548,5,0,OK
5521,2025-12-02 12:01:43,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1204,1596,1544,5,0,OK
5520,2025-12-02 12:01:43,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1211,1596,1548,5,0,OK
5519,2025-12-02 12:01:43,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1208,1589,1543,5,0,OK
5518,2025-12-02 12:01:43,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1208,1589,1543,5,0,OK
5517,2025-12-02 12:01:43,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1201,1595,1550,5,0,OK
5516,2025-12-02 12:01:43,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1202,1591,1546,5,0,OK
5515,2025-12-02 12:01:43,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1209,1591,1544,5,0,OK
5514,2025-12-02 12:01:43,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1204,1589,1547,5,0,OK
5513,2025-12-02 12:01:43,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1199,1590,1542,5,0,OK
5512,2025-12-02 12:01:42,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1205,1591,1545,5,0,OK
5511,2025-12-02 12:01:42,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1208,1593,1542,5,0,OK
5510,2025-12-02 12:01:42,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1206,1588,1544,5,0,OK
5509,2025-12-02 12:01:42,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1208,1592,1550,5,0,OK
5508,2025-12-02 12:01:42,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1209,1589,1544,5,0,OK
5507,2025-12-02 12:01:42,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1201,1588,1550,5,0,OK
5506,2025-12-02 12:01:42,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1201,1595,1544,5,0,OK
5505,2025-12-02 12:01:42,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1204,1592,1547,5,0,OK
5504,2025-12-02 12:01:42,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1205,1587,1541,5,0,OK
5503,2025-12-02 12:01:41,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1203,1590,1538,5,0,OK
5502,2025-12-02 12:01:41,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1204,1596,1546,5,0,OK
5501,2025-12-02 12:01:41,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1206,1590,1543,5,0,OK
5500,2025-12-02 12:01:41,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1207,1595,1541,5,0,OK
5499,2025-12-02 12:01:41,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1204,1592,1542,5,0,OK
5498,2025-12-02 12:01:41,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1207,1595,1543,5,0,OK
5497,2025-12-02 12:01:41,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1209,1594,1549,5,0,OK
5496,2025-12-02 12:01:41,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1207,1588,1545,5,0,OK
5495,2025-12-02 12:01:41,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1205,1589,1545,5,0,OK
5494,2025-12-02 12:01:41,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1203,1594,1545,5,0,OK
5493,2025-12-02 12:01:40,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1208,1595,1546,5,0,OK
5492,2025-12-02 12:01:40,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1211,1591,1542,5,0,OK
5491,2025-12-02 12:01:40,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1203,1595,1548,5,0,OK
5490,2025-12-02 12:01:40,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1210,1590,1545,5,0,OK
5489,2025-12-02 12:01:40,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1210,1594,1547,5,0,OK
5488,2025-12-02 12:01:40,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1204,1593,1548,5,0,OK
5487,2025-12-02 12:01:40,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1205,1593,1539,5,0,OK
5486,2025-12-02 12:01:40,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1201,1588,1545,5,0,OK
5485,2025-12-02 12:01:40,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1206,1590,1542,5,0,OK
5484,2025-12-02 12:01:39,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1206,1596,1540,5,0,OK
5483,2025-12-02 12:01:39,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1204,1592,1545,5,0,OK
5482,2025-12-02 12:01:39,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1209,1596,1544,5,0,OK
5481,2025-12-02 12:01:39,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1200,1589,1545,5,0,OK
5480,2025-12-02 12:01:39,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1207,1591,1549,5,0,OK
5479,2025-12-02 12:01:39,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1201,1596,1548,5,0,OK
5478,2025-12-02 12:01:39,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1211,1596,1548,5,0,OK
5477,2025-12-02 12:01:39,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1204,1592,1544,5,0,OK
5476,2025-12-02 12:01:39,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1197,1596,1546,5,0,OK
5475,2025-12-02 12:01:38,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1205,1598,1545,5,0,OK
5474,2025-12-02 12:01:38,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1204,1592,1545,5,0,OK
5473,2025-12-02 12:01:38,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1205,1592,1546,5,0,OK
5472,2025-12-02 12:01:38,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1204,1596,1545,5,0,OK
5471,2025-12-02 12:01:38,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1209,1594,1547,5,0,OK
5470,2025-12-02 12:01:38,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1205,1593,1545,5,0,OK
5469,2025-12-02 12:01:38,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1205,1591,1542,5,0,OK
5468,2025-12-02 12:01:38,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1208,1594,1545,5,0,OK
5467,2025-12-02 12:01:38,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1204,1589,1544,5,0,OK
5466,2025-12-02 12:01:38,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1209,1592,1542,5,0,OK
5465,2025-12-02 12:01:37,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1205,1597,1540,5,0,OK
5464,2025-12-02 12:01:37,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1200,1594,1545,5,0,OK
5463,2025-12-02 12:01:37,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1209,1592,1545,5,0,OK
5462,2025-12-02 12:01:37,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1208,1593,1547,5,0,OK
5461,2025-12-02 12:01:37,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1209,1591,1542,5,0,OK
5460,2025-12-02 12:01:37,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1205,1594,1549,5,0,OK
5459,2025-12-02 12:01:37,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1202,1596,1544,5,0,OK
5458,2025-12-02 12:01:37,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1209,1592,1545,5,0,OK
5457,2025-12-02 12:01:37,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1210,1591,1544,5,0,OK
5456,2025-12-02 12:01:36,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1206,1595,1548,5,0,OK
5455,2025-12-02 12:01:36,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1209,1593,1545,5,0,OK
5454,2025-12-02 12:01:36,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1204,1595,1544,5,0,OK
5453,2025-12-02 12:01:36,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1212,1597,1547,5,0,OK
5452,2025-12-02 12:01:36,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1209,1595,1546,5,0,OK
5451,2025-12-02 12:01:36,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1207,1597,1546,5,0,OK
5450,2025-12-02 12:01:36,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1204,1592,1545,5,0,OK
5449,2025-12-02 12:01:36,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1210,1593,1537,5,0,OK
5448,2025-12-02 12:01:36,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1206,1589,1546,5,0,OK
5447,2025-12-02 12:01:36,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1204,1591,1553,5,0,OK
5446,2025-12-02 12:01:35,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1210,1594,1544,5,0,OK
5445,2025-12-02 12:01:35,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1213,1594,1550,5,0,OK
5444,2025-12-02 12:01:35,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1205,1590,1543,5,0,OK
5443,2025-12-02 12:01:35,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1206,1596,1546,5,0,OK
5442,2025-12-02 12:01:35,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1208,1599,1542,5,0,OK
5441,2025-12-02 12:01:35,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1201,1591,1547,5,0,OK
5440,2025-12-02 12:01:35,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1202,1597,1546,5,0,OK
5439,2025-12-02 12:01:35,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1205,1588,1546,5,0,OK
5438,2025-12-02 12:01:35,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1210,1588,1546,5,0,OK
5437,2025-12-02 12:01:35,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1209,1597,1548,5,0,OK
5436,2025-12-02 12:01:34,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1202,1596,1543,5,0,OK
5435,2025-12-02 12:01:34,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1207,1596,1548,5,0,OK
5434,2025-12-02 12:01:34,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1201,1591,1545,5,0,OK
5433,2025-12-02 12:01:34,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1208,1598,1550,5,0,OK
5432,2025-12-02 12:01:34,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1204,1597,1540,5,0,OK
5431,2025-12-02 12:01:34,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1210,1598,1545,5,0,OK
5430,2025-12-02 12:01:34,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1209,1599,1538,5,0,OK
5429,2025-12-02 12:01:34,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1205,1596,1545,5,0,OK
5428,2025-12-02 12:01:34,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1206,1593,1546,5,0,OK
5427,2025-12-02 12:01:33,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1207,1594,1548,5,0,OK
5426,2025-12-02 12:01:33,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1212,1595,1547,5,0,OK
5425,2025-12-02 12:01:33,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1209,1597,1545,5,0,OK
5424,2025-12-02 12:01:33,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1207,1595,1550,5,0,OK
5423,2025-12-02 12:01:33,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1210,1595,1545,5,0,OK
5422,2025-12-02 12:01:33,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1207,1595,1547,5,0,OK
5421,2025-12-02 12:01:33,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1203,1598,1548,5,0,OK
5420,2025-12-02 12:01:33,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1204,1596,1544,5,0,OK
5419,2025-12-02 12:01:33,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1209,1594,1547,5,0,OK
5418,2025-12-02 12:01:33,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1201,1590,1552,5,0,OK
5417,2025-12-02 12:01:32,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1203,1595,1549,5,0,OK
5416,2025-12-02 12:01:32,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1201,1598,1546,5,0,OK
5415,2025-12-02 12:01:32,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1205,1591,1543,5,0,OK
5414,2025-12-02 12:01:32,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1208,1591,1538,5,0,OK
5413,2025-12-02 12:01:32,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1210,1595,1545,5,0,OK
5412,2025-12-02 12:01:32,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1203,1595,1550,5,0,OK
5411,2025-12-02 12:01:32,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1204,1596,1549,5,0,OK
5410,2025-12-02 12:01:32,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1204,1596,1548,5,0,OK
5409,2025-12-02 12:01:32,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1209,1592,1549,5,0,OK
5408,2025-12-02 12:01:31,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1208,1595,1547,5,0,OK
5407,2025-12-02 12:01:31,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1209,1595,1542,5,0,OK
5406,2025-12-02 12:01:31,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1209,1595,1549,5,0,OK
5405,2025-12-02 12:01:31,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1208,1596,1544,5,0,OK
5404,2025-12-02 12:01:31,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1211,1592,1550,5,0,OK
5403,2025-12-02 12:01:31,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1207,1595,1541,5,0,OK
5402,2025-12-02 12:01:31,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1204,1596,1545,5,0,OK
5401,2025-12-02 12:01:31,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1205,1594,1549,5,0,OK
5400,2025-12-02 12:01:31,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1210,1592,1549,5,0,OK
5399,2025-12-02 12:01:31,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1207,1595,1550,5,0,OK
5398,2025-12-02 12:01:30,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1201,1596,1545,5,0,OK
5397,2025-12-02 12:01:30,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1209,1591,1546,5,0,OK
5396,2025-12-02 12:01:30,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1209,1595,1549,5,0,OK
5395,2025-12-02 12:01:30,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1206,1603,1544,5,0,OK
5394,2025-12-02 12:01:30,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1212,1595,1542,5,0,OK
5393,2025-12-02 12:01:30,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1205,1588,1547,5,0,OK
5392,2025-12-02 12:01:30,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1207,1595,1547,5,0,OK
5391,2025-12-02 12:01:30,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1208,1591,1545,5,0,OK
5390,2025-12-02 12:01:30,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1207,1594,1548,5,0,OK
5389,2025-12-02 12:01:29,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1210,1591,1545,5,0,OK
5388,2025-12-02 12:01:29,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1208,1589,1550,5,0,OK
5387,2025-12-02 12:01:29,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1205,1597,1545,5,0,OK
5386,2025-12-02 12:01:29,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1207,1598,1551,5,0,OK
5385,2025-12-02 12:01:29,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1204,1595,1548,5,0,OK
5384,2025-12-02 12:01:29,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1211,1593,1547,5,0,OK
5383,2025-12-02 12:01:29,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1209,1593,1541,5,0,OK
5382,2025-12-02 12:01:29,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1206,1596,1549,5,0,OK
5381,2025-12-02 12:01:29,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1205,1588,1543,5,0,OK
5380,2025-12-02 12:01:29,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1207,1588,1545,5,0,OK
5379,2025-12-02 12:01:28,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1209,1598,1549,5,0,OK
5378,2025-12-02 12:01:28,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1204,1593,1545,5,0,OK
5377,2025-12-02 12:01:28,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1209,1599,1545,5,0,OK
5376,2025-12-02 12:01:28,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1209,1594,1544,5,0,OK
5375,2025-12-02 12:01:28,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1206,1593,1547,5,0,OK
5374,2025-12-02 12:01:28,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1207,1593,1550,5,0,OK
5373,2025-12-02 12:01:28,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1208,1596,1546,5,0,OK
5372,2025-12-02 12:01:28,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1211,1597,1545,5,0,OK
5371,2025-12-02 12:01:28,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1206,1596,1543,5,0,OK
5370,2025-12-02 12:01:27,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1211,1596,1550,5,0,OK
5369,2025-12-02 12:01:27,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1211,1603,1548,5,0,OK
5368,2025-12-02 12:01:27,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1211,1595,1548,5,0,OK
5367,2025-12-02 12:01:27,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1209,1597,1540,5,0,OK
5366,2025-12-02 12:01:27,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1207,1599,1550,5,0,OK
5365,2025-12-02 12:01:27,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1205,1596,1554,5,0,OK
5364,2025-12-02 12:01:27,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1210,1596,1548,5,0,OK
5363,2025-12-02 12:01:27,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1207,1595,1546,5,0,OK
5362,2025-12-02 12:01:27,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1209,1595,1550,5,0,OK
5361,2025-12-02 12:01:27,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1207,1597,1545,5,0,OK
5360,2025-12-02 12:01:26,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1209,1594,1545,5,0,OK
5359,2025-12-02 12:01:26,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1209,1596,1545,5,0,OK
5358,2025-12-02 12:01:26,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1211,1597,1545,5,0,OK
5357,2025-12-02 12:01:26,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1204,1594,1547,5,0,OK
5356,2025-12-02 12:01:26,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1212,1596,1550,5,0,OK
5355,2025-12-02 12:01:26,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1210,1604,1549,5,0,OK
5354,2025-12-02 12:01:26,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1209,1597,1550,5,0,OK
5353,2025-12-02 12:01:26,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1208,1597,1548,5,0,OK
5352,2025-12-02 12:01:26,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1208,1599,1541,5,0,OK
5351,2025-12-02 12:01:25,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1209,1603,1545,5,0,OK
5350,2025-12-02 12:01:25,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1206,1596,1550,5,0,OK
5349,2025-12-02 12:01:25,AA:BB:CC:DD:EE:FF,11:22:33:44:55:66,1209,1596,1545,5,0,OK
